"module name","license","repository"
"gopd@1.2.0","MIT","https://github.com/ljharb/gopd"
"graceful-fs@4.2.11","ISC","https://github.com/isaacs/node-graceful-fs"
"gray-matter@4.0.3","MIT","https://github.com/jonschlinkert/gray-matter"
"gsap@3.13.0","Custom: https://gsap.com/standard-license.","https://github.com/greensock/GSAP"
"has-flag@4.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-symbols@1.1.0","MIT","https://github.com/inspect-js/has-symbols"
"hasown@2.0.4","MIT","https://github.com/inspect-js/hasOwn"
"he@1.2.0","MIT","https://github.com/mathiasbynens/he"
"hosted-git-info@6.1.3","ISC","https://github.com/npm/hosted-git-info"
"html-encoding-sniffer@3.0.0","MIT","https://github.com/jsdom/html-encoding-sniffer"
"html-minifier-terser@7.2.0","MIT","https://github.com/terser/html-minifier-terser"
"htmlparser2@7.2.0","MIT","https://github.com/fb55/htmlparser2"
"http-equiv-refresh@2.0.1","MIT","https://github.com/stevenvachon/http-equiv-refresh"
"http-errors@2.0.1","MIT","https://github.com/jshttp/http-errors"
"http-proxy@1.18.1","MIT","https://github.com/http-party/node-http-proxy"
"http-server@14.1.1","MIT","https://github.com/http-party/http-server"
"iconv-lite@0.6.3","MIT","https://github.com/ashtuchkin/iconv-lite"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"is-alphabetical@2.0.1","MIT","https://github.com/wooorm/is-alphabetical"
"is-alphanumerical@2.0.1","MIT","https://github.com/wooorm/is-alphanumerical"
"is-binary-path@2.1.0","MIT","https://github.com/sindresorhus/is-binary-path"
"is-core-module@2.16.2","MIT","https://github.com/inspect-js/is-core-module"
"is-decimal@2.0.1","MIT","https://github.com/wooorm/is-decimal"
"is-extendable@0.1.1","MIT","https://github.com/jonschlinkert/is-extendable"
"is-extglob@2.1.1","MIT","https://github.com/jonschlinkert/is-extglob"
"is-fullwidth-code-point@3.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-glob@4.0.3","MIT","https://github.com/micromatch/is-glob"
"is-json@2.0.1","ISC","https://github.com/joaquimserafim/is-json"
"is-number@7.0.0","MIT","https://github.com/jonschlinkert/is-number"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe"
"iso-639-1@3.1.6","MIT","https://github.com/meikidd/iso-639-1"
"jackspeak@3.4.3","BlueOak-1.0.0","https://github.com/isaacs/jackspeak"
"js-yaml@3.15.2","MIT","https://github.com/nodeca/js-yaml"
"js-yaml@4.3.2","MIT","https://github.com/nodeca/js-yaml"
"json-parse-even-better-errors@3.0.2","MIT","https://github.com/npm/json-parse-even-better-errors"
"junk@3.1.0","MIT","https://github.com/sindresorhus/junk"
"kind-of@6.0.3","MIT","https://github.com/jonschlinkert/kind-of"
"kleur@4.1.5","MIT","https://github.com/lukeed/kleur"
"leaflet@1.9.4","BSD-2-Clause","https://github.com/Leaflet/Leaflet"
"lenis@1.3.11","MIT","https://github.com/darkroomengineering/lenis"
"license-checker-rseidelsohn@4.4.2","BSD-3-Clause","https://github.com/RSeidelsohn/license-checker-rseidelsohn"
"linkify-it@5.0.2","MIT","https://github.com/markdown-it/linkify-it"
"linkify-it@6.1.0","MIT","https://github.com/markdown-it/linkify-it"
"liquidjs@10.29.0","MIT","https://github.com/harttle/liquidjs"
"list-to-array@1.1.0","MIT","https://github.com/JedWatson/list-to-array"
"lodash.clonedeep@4.5.0","MIT","https://github.com/lodash/lodash"
"lower-case@2.0.2","MIT","https://github.com/blakeembrey/change-case"
"lru-cache@10.4.3","ISC","https://github.com/isaacs/node-lru-cache"
"lru-cache@7.18.3","ISC","https://github.com/isaacs/node-lru-cache"
"luxon@3.7.2","MIT","https://github.com/moment/luxon"
"markdown-it-anchor@9.2.0","Unlicense","https://github.com/valeriangalliat/markdown-it-anchor"
"markdown-it@14.3.1","MIT","https://github.com/markdown-it/markdown-it"
"markdown-it@15.0.1","MIT","https://github.com/markdown-it/markdown-it"
"math-intrinsics@1.1.0","MIT","https://github.com/es-shims/math-intrinsics"
"mdurl@2.1.0","MIT","https://github.com/markdown-it/mdurl"
"mime-db@1.54.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@3.0.2","MIT","https://github.com/jshttp/mime-types"
"mime@1.6.0","MIT","https://github.com/broofa/node-mime"
"mime@3.0.0","MIT","https://github.com/broofa/mime"
"minimatch@3.1.5","ISC","https://github.com/isaacs/minimatch"
"minimatch@9.0.9","ISC","https://github.com/isaacs/minimatch"
"minimist@1.2.8","MIT","https://github.com/minimistjs/minimist"
"minipass@7.1.3","BlueOak-1.0.0","https://github.com/isaacs/minipass"
"mkdirp@1.0.4","MIT","https://github.com/isaacs/node-mkdirp"
"moo@0.5.2","BSD-3-Clause","https://github.com/tjvr/moo"
"morphdom@2.7.8","MIT","https://github.com/patrick-steele-idem/morphdom"
"ms@2.0.0","MIT","https://github.com/zeit/ms"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
"no-case@3.0.4","MIT","https://github.com/blakeembrey/change-case"
"node-retrieve-globals@6.0.1","MIT","https://github.com/zachleat/node-retrieve-globals"
"nopt@7.2.1","ISC","https://github.com/npm/nopt"
"normalize-package-data@5.0.0","BSD-2-Clause","https://github.com/npm/normalize-package-data"
"normalize-path@3.0.0","MIT","https://github.com/jonschlinkert/normalize-path"
"npm-normalize-package-bin@3.0.1","ISC","https://github.com/npm/npm-normalize-package-bin"
"nunjucks@3.2.4","BSD-2-Clause","https://github.com/mozilla/nunjucks"
"object-inspect@1.13.4","MIT","https://github.com/inspect-js/object-inspect"
"on-finished@2.4.1","MIT","https://github.com/jshttp/on-finished"
"opener@1.5.2","(WTFPL OR MIT)","https://github.com/domenic/opener"
"package-json-from-dist@1.0.1","BlueOak-1.0.0","https://github.com/isaacs/package-json-from-dist"
"param-case@3.0.4","MIT","https://github.com/blakeembrey/change-case"
"parse-srcset@1.0.2","MIT","https://github.com/albell/parse-srcset"
"parseurl@1.3.3","MIT","https://github.com/pillarjs/parseurl"
"pascal-case@3.1.2","MIT","https://github.com/blakeembrey/change-case"
"path-key@3.1.1","MIT","https://github.com/sindresorhus/path-key"
"path-scurry@1.11.1","BlueOak-1.0.0","https://github.com/isaacs/path-scurry"
"picomatch@2.3.2","MIT","https://github.com/micromatch/picomatch"
"picomatch@4.0.7","MIT","https://github.com/micromatch/picomatch"
"please-upgrade-node@3.2.0","MIT","https://github.com/typicode/please-upgrade-node"
"portfinder@1.0.38","MIT","https://github.com/http-party/node-portfinder"
"posthtml-match-helper@2.0.3","MIT","https://github.com/posthtml/posthtml-match-helper"
"posthtml-parser@0.11.0","MIT","https://github.com/posthtml/posthtml-parser"
"posthtml-render@3.0.0","MIT","https://github.com/posthtml/posthtml-render"
"posthtml@0.16.7","MIT","https://github.com/posthtml/posthtml"
"prr@1.0.1","MIT","https://github.com/rvagg/prr"
"punycode.js@2.3.1","MIT","https://github.com/mathiasbynens/punycode.js"
"qs@6.16.0","BSD-3-Clause","https://github.com/ljharb/qs"
"range-parser@1.3.0","MIT","https://github.com/jshttp/range-parser"
"read-installed-packages@2.0.1","ISC","https://github.com/Semigradsky/read-installed"
"read-package-json@6.0.4","ISC","https://github.com/npm/read-package-json"
"readdirp@3.6.0","MIT","https://github.com/paulmillr/readdirp"
"relateurl@0.2.7","MIT","https://github.com/stevenvachon/relateurl"
"requires-port@1.0.0","MIT","https://github.com/unshiftio/requires-port"
"safe-buffer@5.1.2","MIT","https://github.com/feross/safe-buffer"
"safer-buffer@2.1.2","MIT","https://github.com/ChALkeR/safer-buffer"
"section-matter@1.0.0","MIT","https://github.com/jonschlinkert/section-matter"
"secure-compare@3.0.1","MIT","https://github.com/vdemedes/secure-compare"
"semver-compare@1.0.0","MIT","https://github.com/substack/semver-compare"
"semver@7.8.5","ISC","https://github.com/npm/node-semver"
"send@1.2.1","MIT","https://github.com/pillarjs/send"
"setprototypeof@1.2.0","ISC","https://github.com/wesleytodd/setprototypeof"
"sharp@0.35.4","Apache-2.0","https://github.com/lovell/sharp"
"shebang-command@2.0.0","MIT","https://github.com/kevva/shebang-command"
"shebang-regex@3.0.0","MIT","https://github.com/sindresorhus/shebang-regex"
"side-channel-list@1.0.1","MIT","https://github.com/ljharb/side-channel-list"
"side-channel-map@1.0.1","MIT","https://github.com/ljharb/side-channel-map"
"side-channel-weakmap@1.0.2","MIT","https://github.com/ljharb/side-channel-weakmap"
"side-channel@1.1.1","MIT","https://github.com/ljharb/side-channel"
"signal-exit@4.1.0","ISC","https://github.com/tapjs/signal-exit"
"slash@3.0.0","MIT","https://github.com/sindresorhus/slash"
"slide@1.1.6","ISC","https://github.com/isaacs/slide-flow-control"
"slugify@1.6.9","MIT","https://github.com/simov/slugify"
"source-map-support@0.5.21","MIT","https://github.com/evanw/node-source-map-support"
"source-map@0.6.1","BSD-3-Clause","https://github.com/mozilla/source-map"
"spdx-compare@1.0.0","MIT","https://github.com/kemitchell/spdx-compare.js"
"spdx-correct@3.2.0","Apache-2.0","https://github.com/jslicense/spdx-correct.js"
"spdx-exceptions@2.5.0","CC-BY-3.0","https://github.com/kemitchell/spdx-exceptions.json"
"spdx-expression-parse@3.0.1","MIT","https://github.com/jslicense/spdx-expression-parse.js"
"spdx-license-ids@3.0.23","CC0-1.0","https://github.com/jslicense/spdx-license-ids"
"spdx-ranges@2.1.1","(MIT AND CC-BY-3.0)","https://github.com/kemitchell/spdx-ranges.js"
"spdx-satisfies@5.0.1","MIT","https://github.com/kemitchell/spdx-satisfies.js"
"sprintf-js@1.0.3","BSD-3-Clause","https://github.com/alexei/sprintf.js"
"ssri@11.0.0","ISC","https://github.com/npm/ssri"
"statuses@2.0.2","MIT","https://github.com/jshttp/statuses"
"string-width@4.2.3","MIT","https://github.com/sindresorhus/string-width"
"string-width@5.1.2","MIT","https://github.com/sindresorhus/string-width"
"strip-ansi@6.0.1","MIT","https://github.com/chalk/strip-ansi"
"strip-ansi@7.2.0","MIT","https://github.com/chalk/strip-ansi"
"strip-bom-string@1.0.0","MIT","https://github.com/jonschlinkert/strip-bom-string"
"supports-color@7.2.0","MIT","https://github.com/chalk/supports-color"
"terser@5.51.2","BSD-2-Clause","https://github.com/terser/terser"
"tinyglobby@0.2.17","MIT","https://github.com/SuperchupuDev/tinyglobby"
"to-regex-range@5.0.1","MIT","https://github.com/micromatch/to-regex-range"
"toidentifier@1.0.1","MIT","https://github.com/component/toidentifier"
"treeify@1.1.0","MIT","https://github.com/notatestuser/treeify"
"tslib@2.8.1","0BSD","https://github.com/Microsoft/tslib"
"uc.micro@2.1.0","MIT","https://github.com/markdown-it/uc.micro"
"uc.micro@3.0.0","MIT","https://github.com/markdown-it/uc.micro"
"union@0.5.0","MIT*","https://github.com/flatiron/union"
"unpipe@1.0.0","MIT","https://github.com/stream-utils/unpipe"
"url-join@4.0.1","MIT","https://github.com/jfromaniello/url-join"
"urlpattern-polyfill@10.1.0","MIT","https://github.com/kenchris/urlpattern-polyfill"
"validate-npm-package-license@3.0.4","Apache-2.0","https://github.com/kemitchell/validate-npm-package-license.js"
"whatwg-encoding@2.0.0","MIT","https://github.com/jsdom/whatwg-encoding"
"which@2.0.2","ISC","https://github.com/isaacs/node-which"
"wrap-ansi@7.0.0","MIT","https://github.com/chalk/wrap-ansi"
"wrap-ansi@8.1.0","MIT","https://github.com/chalk/wrap-ansi"
"ws@8.21.3","MIT","https://github.com/websockets/ws"
